Open,High,Low,Close,Adj Close,Volume,HL,HC,LC,TR,ATR,SuperTrend,UpperBand,LowerBand
177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,179.95388793945312,104487900,5.1699981689453125,,,,,0.0,,
182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,177.6699981689453,99310400,3.82000732421875,0.9300079345703125,2.8899993896484375,3.82000732421875,,0.0,,
179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,172.94398498535156,94537600,5.529998779296875,0.470001220703125,5.05999755859375,5.529998779296875,,0.0,,
172.6999969482422,175.3000030517578,171.63999938964844,172.0,170.05699157714844,96904000,3.660003662109375,0.3800048828125,3.279998779296875,3.660003662109375,,0.0,,
172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,170.22508239746094,86709100,3.1100006103515625,2.1399993896484375,0.970001220703125,3.1100006103515625,,0.0,,
169.0800018310547,172.5,168.1699981689453,172.19000244140625,170.2448272705078,106765600,4.3300018310546875,0.3300018310546875,4.0,4.3300018310546875,,0.0,,
172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,173.10218811035156,76138300,4.3599853515625,2.989990234375,1.3699951171875,4.3599853515625,,0.0,,
176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,173.54708862304688,74805200,2.3599853515625,2.0999908447265625,0.2599945068359375,2.3599853515625,3.8814261300223216,186.46428571428572,165.53571428571428,186.46428571428572
175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,170.2448272705078,84505800,4.8300018310546875,1.089996337890625,3.7400054931640625,4.8300018310546875,4.0257110595703125,183.86712646484375,164.54286193847656,183.86712646484375
171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,171.1149139404297,80440800,2.69000244140625,1.589996337890625,1.100006103515625,2.69000244140625,3.619997297014509,181.94998822893416,162.92000688825334,181.94998822893416
171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,167.88182067871094,90956700,3.1299896240234375,0.5300140380859375,3.660003662109375,3.660003662109375,3.619997297014509,180.2699955531529,161.68000139508928,180.2699955531529
170.0,171.0800018310547,165.94000244140625,166.22999572753906,164.35214233398438,94815000,5.1399993896484375,1.279998779296875,3.8600006103515625,5.1399993896484375,3.909997122628348,177.6699938092913,159.35001046316964,177.6699938092913
166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,162.65158081054688,91420500,5.5,3.4499969482421875,2.0500030517578125,5.5,4.077139718191964,176.41141183035714,157.44857352120536,176.41141183035714
164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,160.57530212402344,122848900,4.029998779296875,1.82000732421875,2.209991455078125,4.029998779296875,4.029998779296875,174.38999938964844,154.24000549316406,174.38999938964844
160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,159.79425048828125,162294600,7.600006103515625,0.1100006103515625,7.7100067138671875,7.7100067138671875,4.794287545340402,169.0828595842634,147.9171404157366,169.0828595842634
158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,157.9750213623047,115798400,5.739990234375,1.1399993896484375,4.5999908447265625,5.739990234375,4.924285888671875,171.79286193847656,147.9871368408203,171.79286193847656
163.5,164.38999938964844,157.82000732421875,159.69000244140625,157.8860321044922,108275300,6.5699920654296875,4.6100006103515625,1.959991455078125,6.5699920654296875,5.478570120675223,174.25571768624442,147.95428902762276,174.25571768624442
162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,157.4213409423828,121954600,5.55999755859375,4.149993896484375,1.410003662109375,5.55999755859375,5.749997820172991,175.52999223981584,146.59000287737166,175.52999223981584
165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,168.4058380126953,179935700,7.5500030517578125,11.1300048828125,3.5800018310546875,11.1300048828125,6.605712890625,182.6171417236328,150.53286743164062,182.6171417236328
170.16000366210938,175.0,169.50999450683594,174.77999877929688,172.8055877685547,115541600,5.4900054931640625,4.6699981689453125,0.82000732421875,5.4900054931640625,6.604285103934152,189.3228498186384,155.18714468819755,189.3228498186384
174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,172.63748168945312,86213900,2.529998779296875,0.05999755859375,2.470001220703125,2.529998779296875,6.3899993896484375,191.47999572753906,155.6699981689453,191.47999572753906
174.75,175.8800048828125,173.3300018310547,175.83999633789062,173.85357666015625,84914300,2.5500030517578125,1.2700042724609375,1.279998779296875,2.5500030517578125,5.652856009347098,190.288569859096,158.9214368547712,190.288569859096
174.47999572753906,176.24000549316406,172.1199951171875,172.89999389648438,170.9468231201172,89418100,4.1200103759765625,0.4000091552734375,3.720001220703125,4.1200103759765625,5.421430315290179,188.38428606305803,159.97571454729353,188.38428606305803
171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,170.65972900390625,82465400,3.420013427734375,1.20001220703125,2.220001220703125,3.420013427734375,4.971433367047991,185.59429277692522,159.18570600237166,185.59429277692522
172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,169.9370574951172,77251200,3.0,1.55999755859375,1.44000244140625,3.0,4.605719430106027,184.76715523856026,160.1328386579241,184.76715523856026
171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,173.07522583007812,74829200,3.920013427734375,3.69000244140625,0.230010986328125,3.920013427734375,3.575720650809152,182.1571546282087,164.62284415108817,182.1571546282087
176.0500030517578,176.64999389648438,174.89999389648438,176.27999877929688,174.51068115234375,71285000,1.75,1.8199920654296875,0.0699920654296875,1.8199920654296875,3.0514330182756697,184.0542929513114,167.49569484165735,184.0542929513114
